6.6699,-9.6321,-9.43688,-9.79681,
13.5625,-9.82388,-9.69151,-9.83292,
20.5699,-9.96277,-9.8728,-9.85831,
27.412,-10.0943,-10.0643,-9.88451,
36.2131,-10.1937,-10.2153,-9.90809,
45.1374,-10.2785,-10.3592,-9.93119,
52.0044,-10.339,-10.5065,-9.95584,
61.3266,-10.3796,-10.6427,-9.98055,
70.9319,-10.3925,-10.7738,-10.0005,
79.3376,-10.3853,-10.8847,-10.0174,
88.0644,-10.3573,-10.9732,-10.029,
96.7983,-10.3252,-11.0432,-10.0374,
103.865,-10.2824,-11.1332,-10.0467,
112.19,-10.234,-11.206,-10.0567,
120.567,-10.1742,-11.2837,-10.066,
128.437,-10.1101,-11.3529,-10.0724,
135.594,-10.0512,-11.4025,-10.0767,
143.377,-9.97046,-11.4621,-10.0805,
152.397,-9.88123,-11.5247,-10.0836,
160.189,-9.78378,-11.5842,-10.0847,
166.738,-9.6816,-11.6374,-10.0839,
174.355,-9.60167,-11.6697,-10.0824,
182.538,-9.47691,-11.7159,-10.0803,
191.188,-9.34531,-11.7562,-10.077,
199.309,-9.23191,-11.7878,-10.074,
207.838,-9.11086,-11.8103,-10.0695,
215.628,-9.01262,-11.8214,-10.0646,
223.243,-8.93292,-11.8304,-10.0602,
231.231,-8.78377,-11.8422,-10.052,
239.019,-8.67424,-11.8398,-10.0472,
246.612,-8.5765,-11.8383,-10.0429,
253.484,-8.47775,-11.8365,-10.0394,
261.962,-8.3881,-11.8316,-10.036,
269.632,-8.28487,-11.8226,-10.0324,
277.286,-8.1793,-11.8081,-10.0291,
286.548,-8.07173,-11.7897,-10.026,
295.616,-7.96575,-11.7685,-10.0229,
303.371,-7.8496,-11.7415,-10.0196,
311.403,-7.76378,-11.7165,-10.0166,
317.659,-7.65548,-11.6777,-10.013,
325.395,-7.5817,-11.6501,-10.0124,
330.949,-7.52251,-11.6257,-10.0126,
336.884,-7.41438,-11.5774,-10.0136,
343.153,-7.33601,-11.5392,-10.0147,
